Symbol	TCGA-44-2657-11	TCGA-50-5939-11	TCGA-55-6979-11	TCGA-55-6970-11	TCGA-55-6984-11	TCGA-44-6777-11	TCGA-44-6146-11	TCGA-44-3396-11
CCDC132	851	782	506	824	1728	693	721	1671
HSPB6	1131	2286	362	692	1833	2209	1644	5280
ARHGAP33	150	109	83	157	267	59	130	209
NDUFAB1	1424	851	733	877	2675	955	647	1994
PDK4	3492	6037	5452	7105	6569	3937	6472	57309
SLC22A16	14	4	3	58	0	5	1	14
ZMYND10	801	132	210	209	4088	597	73	2695
ABCB5	6	25	5	21	9	2	16	8
ARX	33	8	12	15	141	27	5	103
SLC25A13	698	598	383	471	904	439	501	1362
ST7	2424	2182	1533	1501	4632	1900	1903	4122
CDC27	1912	2228	1156	1695	3112	1492	1830	4110
SLC4A1	2	43	14	14	0	6	8	41
CALCR	3	25	3	13	25	16	13	39
HCCS	789	613	393	543	1170	594	468	1471
DVL2	1385	1039	618	731	1616	876	998	2131
PRSS22	294	198	244	192	752	171	199	616
UPF1	5514	3840	2732	3153	6726	3311	3942	12305
SKAP2	2758	3385	1498	2743	3863	2604	2366	6949
SLC25A5	14113	7294	6030	5669	14472	7605	6300	16794
CCDC109B	938	336	481	610	1130	513	421	1258
HOXA11	3	5	0	0	1	3	0	3
POLR2J	1124	604	486	492	1222	643	436	1341
DHX33	658	639	385	489	1109	444	618	1497
MEOX1	127	55	38	12	21	179	139	167
THSD7A	254	611	166	453	608	198	459	934
LIG3	858	819	485	630	1009	496	668	1887
RPAP3	942	623	511	670	1194	613	585	1389
ACSM3	878	767	379	564	925	633	394	606
CIAPIN1	1750	1017	788	978	2194	1118	917	2658
SPPL2B	1451	702	616	647	1964	668	778	2384
FAM214B	1286	1175	603	908	1686	870	765	2583
COPZ2	546	533	126	289	763	546	318	1004
PRKAR2B	553	685	398	802	1003	542	605	1574
MSL3	1381	868	675	1071	2050	769	801	1933
CREBBP	5106	5372	2994	3552	6463	3471	5388	10522
BZRAP1	576	450	405	503	1522	265	618	1402
MPO	30	6	22	12	18	19	17	96
PON1	26	15	19	23	40	8	17	27
GCFC2	566	598	417	575	1021	361	460	1099
WDR54	696	235	207	263	1463	358	221	1215
CROT	531	481	374	456	1043	437	446	1001
ABCB4	118	16	11	10	14	42	17	59
KMT2E	3547	4202	2438	3227	5848	2573	4564	8222
RHBDD2	7743	5040	3291	2681	12275	5240	3828	12366
SOX8	288	29	22	26	15	28	10	90
IBTK	2220	2276	1562	2038	3697	1562	2099	4591
ZNF195	638	423	375	516	1183	323	353	839
MYCBP2	3379	3533	2128	3307	3596	2240	3122	6801
FBXL3	2594	2480	1570	2630	5694	2228	2537	5235
ITGAL	6953	3491	2727	3430	4933	3924	2279	9189
PDK2	1328	1024	563	625	1745	814	876	2138
ITGA3	19455	17916	9976	12553	34440	14595	14869	36896
ZFX	1449	1095	1110	1576	3355	1154	1088	3566
LAMP2	6638	7436	5797	6348	13078	6668	6383	17325
ITGA2B	58	52	15	229	51	63	41	280
ASB4	24	55	22	21	71	22	37	65
GDE1	5043	3604	2826	2732	8257	4122	2794	7894
C19orf60	821	507	428	392	1174	529	344	1482
CRLF1	131	99	125	42	336	465	33	1062
OSBPL7	672	338	461	516	830	409	603	892
TMEM98	2912	2857	1448	2061	5584	2256	2104	5723
YBX2	10	7	4	2	18	6	6	4
KRT33A	0	0	0	0	0	0	0	1
MAP3K14	2263	1168	779	1217	1391	485	825	2421
ABCC8	88	69	6	23	99	45	11	232
CACNG3	3	0	0	0	0	0	1	0
TMEM132A	661	632	300	415	838	306	364	1529
AP2B1	10392	9673	5314	8303	16334	9011	8151	21366
TAC1	0	3	2	5	0	0	1	14
ZNF263	1168	951	659	781	1726	660	824	2041
CX3CL1	2985	5305	2901	6093	6687	5090	3943	14260
SPATA20	1385	631	996	455	1856	600	920	2687
CACNA1G	23	21	4	3	12	20	19	66
TNFRSF12A	1082	1598	966	1448	3899	1297	1095	5048
DLX6	6	1	0	1	0	0	0	2
MAP3K9	908	710	465	649	1591	503	1022	1093
RALA	2846	3683	1703	3745	4680	2952	2613	6918
BAIAP2L1	1208	1061	719	1041	3909	905	995	3137
KDM7A	1345	1769	1067	1603	2399	883	1457	2897
ETV1	3459	3647	1220	3253	5961	3731	2773	6197
AGK	967	685	504	654	1243	597	609	1519
ALDH3B1	8606	4777	4625	3680	21407	6439	6690	18296
TTC22	504	264	209	239	1040	264	332	557
PHTF2	952	894	647	1003	1375	588	607	1816
CCL26	109	7	3	1	22	6	4	10
FARP2	1191	1265	722	989	2135	823	1215	2981
USH1C	66	3	4	2	15	40	1	91
GGCT	563	395	406	423	1098	399	349	950
DBF4	381	173	135	182	312	109	144	283
TBXA2R	121	198	74	138	95	216	143	560
IFRD1	932	1342	941	1299	1950	639	1205	2032
LGALS14	1	0	0	1	0	1	0	0
COX10	624	361	249	312	767	382	355	1022
GTF2IRD1	676	578	326	410	1004	438	643	1339
PAF1	2834	2343	1690	1932	3648	1995	1740	4796
VPS41	2639	2656	1851	2351	4223	2283	2230	5466
ARHGAP44	2339	2358	1750	2151	7534	1778	2390	4543
ELAC2	2521	1679	1065	1301	2953	1635	1386	3932
SCIN	656	681	160	530	968	322	218	813
ARSD	4874	2831	2975	3306	7959	3338	2238	8327
PNPLA4	927	422	469	498	1534	676	326	1377
MYH13	1	3	1	1	9	2	7	37
ADIPOR2	3494	4145	2491	3980	5350	3032	3207	13457
CDKL3	25	19	18	33	45	12	19	40
UPP2	4	4	1	6	13	1	2	13
PRSS21	254	278	54	12	132	138	202	344
MARK4	1382	1205	686	850	1540	833	917	2612
PROM1	295	7	45	55	474	136	15	1786
CCDC124	2027	1378	961	825	2812	1368	1080	3411
CEACAM21	304	197	262	227	701	357	84	78
PAFAH1B1	6286	6711	3979	5671	10947	4898	6701	14289
NOS2	112	258	57	112	198	103	217	734
DNAH9	542	94	118	115	2374	480	59	4446
KIAA0100	7562	7096	3773	5126	9997	5853	5341	15369
SLC13A2	87	572	13	106	21	5	24	48
GAS7	2407	3412	1961	2192	3274	2532	3575	8714
TRAPPC6A	1106	491	481	357	1189	440	380	1313
MATK	591	148	327	383	223	323	325	841
CEACAM7	3	0	0	6	11	21	17	10
CD79B	6193	124	161	242	108	421	90	480
SCN4A	45	8	2	4	10	3	9	12
ST7L	278	276	259	310	614	180	236	443
TKTL1	21	1	4	28	38	41	4	19
PAX6	106	151	58	117	310	98	105	277
RPUSD1	943	386	306	275	841	386	428	986
RHBDF1	946	1256	356	788	1313	956	774	2635
LUC7L	963	645	684	1168	2059	435	883	1176
CACNA2D2	14831	16338	5970	9384	24656	11419	10943	24825
BAIAP3	387	173	168	156	1248	229	142	1768
TSR3	1645	979	643	723	2144	1128	739	2384
PIGQ	2745	1800	1407	1293	3866	1747	1558	4804
CRAMP1L	791	644	532	637	1302	438	757	1327
TEAD3	1168	1172	883	833	1867	895	1030	3011
SELE	226	1452	413	117	103	408	2221	1359
DNAJC11	1083	991	488	693	1433	727	777	1921
FMO3	1047	960	201	1271	1668	613	622	2984
MYLIP	1666	1952	1727	2075	4157	1568	2300	3252
NOX1	28	23	14	37	51	19	18	35
E2F2	392	26	30	51	38	61	33	94
PSMB1	4545	2763	2551	3027	6745	3169	2509	7218
SYN1	59	43	15	30	32	29	25	124
JARID2	1146	858	668	790	1264	621	940	1954
CDKL5	1294	1754	1036	1325	2890	1071	1908	3171
CAMK1G	83	60	31	44	35	43	50	117
CDK11A	293	134	104	166	287	111	148	175
NADK	3408	1996	1773	1706	3445	1858	1750	5010
TFAP2B	1	0	9	2	38	0	1	41
DLEC1	239	52	126	182	981	100	77	778
CYTH3	1566	2442	962	1559	3543	1790	2549	4650
ADAM22	202	234	91	187	465	105	214	581
SYPL1	5339	4055	2698	3635	8864	3808	3671	8887
CYB561	3781	2935	1942	2740	7801	3268	2844	8179
SPAG9	4697	6131	2885	5491	9341	3294	5857	11704
CELSR3	100	51	64	50	81	41	67	133
AASS	257	584	235	551	780	341	446	1037
PLEKHG6	125	127	101	143	370	105	130	284
SS18L2	560	297	248	341	757	280	250	631
MPND	1025	598	747	515	1410	705	482	1780
MGST1	4701	2936	3297	3794	9555	4989	3096	7560
CRY1	1085	1113	476	1005	2206	681	963	3460
PGLYRP1	11	12	7	30	4	18	18	108
NFIX	7706	10464	4701	5884	14340	8804	9277	17694
ST3GAL1	5401	4750	2751	3818	5415	3241	3328	12853
MMP25	382	187	121	326	138	179	325	921
IL32	4671	1995	2424	3717	6106	3188	3512	5237
PKD1	2352	3792	1257	1892	3598	2145	3468	8387
MAPK8IP2	203	81	62	77	209	155	168	186
MED24	3160	3161	1731	1926	4265	1921	2083	6337
RHOBTB2	9582	6900	4312	6793	11110	5386	8227	23682
HEATR5B	1531	2205	960	1488	2639	1154	1612	4999
SEC62	6498	7654	4445	6523	14311	6889	6207	14115
RPS20	36180	20539	17773	17503	41124	18282	13742	36930
CSDE1	21594	24043	13262	18622	35768	18447	18519	46018
UBE3C	3245	3310	1835	2466	4879	2478	2866	7120
REV3L	1354	2092	965	1471	2628	1082	1768	4328
TENM1	36	60	25	173	114	43	77	215
PAX7	0	0	0	0	1	0	0	2
MASP2	55	57	26	93	123	27	86	90
IYD	170	199	110	134	353	121	172	367
FAM76A	520	617	420	543	1194	447	721	1456
TRAF3IP3	1372	147	225	536	255	280	287	611
POMT2	685	498	335	468	1359	536	611	1145
VTA1	1497	1133	797	1067	2727	1043	1049	2670
MLXIPL	165	184	97	117	250	121	78	195
BAZ1B	4168	3336	2273	2773	4919	2512	3485	7189
RANBP9	1820	1814	1126	1925	3234	1196	1497	4070
ETV7	378	132	346	224	561	225	258	576
SPRTN	332	385	258	327	641	271	280	737
METTL13	1929	1106	752	983	2272	1242	1021	2633
DYRK4	654	524	350	450	887	385	381	1069
ZNF207	5249	3218	2803	3554	6015	3022	3093	7934
UQCRC1	5325	3031	2552	2482	7143	3297	2422	8003
STARD3NL	1962	1861	1052	1689	3030	1447	1435	4090
CD9	12596	13998	12711	10610	41398	14414	15859	43436
HHATL	11	6	1	10	58	7	1	18
NCAPD2	3418	1580	945	1511	2543	1659	1419	3383
IFFO1	846	557	426	617	812	432	445	1465
GIPR	64	33	72	87	350	39	62	119
PHF7	127	125	78	122	226	65	89	293
SEMA3G	1248	1329	463	4293	1514	2042	1275	5409
NISCH	4580	3962	2449	3291	7101	3041	3482	8543
STAB1	2887	2692	1321	1785	1686	2607	2239	12092
FUZ	717	390	322	362	1510	448	366	1446
SLC6A13	125	34	29	47	264	72	26	119
IDS	6314	8012	3639	5314	13827	5358	6506	14647
PRSS3	4	1	1	3	3	2	0	8
ZNF200	406	331	204	286	604	263	259	706
CD4	11656	8419	6173	6860	10201	7488	6354	19060
LRRC23	722	281	324	326	2579	477	256	1795
BTK	2480	1272	1016	1122	2330	1152	807	2838
HFE	665	534	338	534	1209	488	438	1326
SCMH1	1728	1602	743	1149	2534	1133	1459	3064
FYN	3407	2903	1041	2697	1622	1980	1792	7274
HIVEP2	1643	1838	981	1388	2663	1296	2270	5968
FMO1	53	43	25	20	40	53	60	81
TCEB3	4276	3198	2110	2594	6250	2986	2976	6842
LYPLA2	3201	1217	1218	943	3551	1631	1188	3678
CLCN6	1108	991	713	855	1633	596	1093	2094
MRC2	11460	11573	4241	6741	8567	9216	8485	22638
NME2	40	7	9	6	16	15	12	29
SLC6A7	10	3	14	11	1	2	0	2
TSPAN9	2989	4747	1206	2742	3401	2627	2703	9273
BTBD7	1381	1778	1000	1407	2793	1296	1674	3560
APBA3	800	369	298	284	695	325	303	840
MKS1	519	292	293	317	989	260	354	888
ABHD5	978	1523	905	904	1826	987	705	2358
KAL1	6148	5429	5000	11224	28029	6895	5665	19587
AKAP8L	1233	919	969	974	1981	789	942	2018
MBTD1	761	748	565	771	1423	371	787	1167
UTP18	1410	847	683	911	1698	838	737	2090
RNF216	2723	1963	1142	1557	2767	1581	1875	4685
TTC19	2288	1845	1384	1577	3343	1452	1821	3254
PTBP1	9522	7138	4371	4922	10424	6270	6182	17078
DPF1	13	14	6	12	34	5	9	15
SYT7	295	235	92	98	236	195	172	596
LARS2	1116	624	363	535	1129	607	570	1509
PIK3C2A	1924	3784	1758	2745	3630	2040	2669	6767
PLAUR	2837	3404	3053	1796	3395	2046	1835	5466
ANLN	203	83	94	97	113	120	67	294
WIZ	1971	1815	951	1096	2536	1291	1593	4252
RABGAP1	2473	2800	1652	2073	4095	2010	2444	5250
DCN	29646	52293	11603	25927	55377	45524	57080	93491
QPCTL	559	282	221	241	587	302	208	634
PPP5C	2345	1460	1085	1236	3055	1451	1629	3735
CEP68	1149	1304	696	1154	1866	909	1259	2755
MAP4K3	979	1519	731	1300	2081	835	1159	2746
ZBTB32	170	17	16	33	32	23	23	58
TYROBP	9694	7840	6382	4137	11716	6018	3000	18144
TMEM159	1453	951	1042	825	2160	1211	1010	1953
GABRA3	13	0	0	0	0	3	0	2
BRCA1	344	180	112	261	323	199	192	543
ERCC1	1881	1264	798	1000	2351	957	942	3017
CD22	7079	296	470	688	530	454	473	1602
SEMA3B	3657	4173	1505	2497	13133	2888	3618	8329
MBTPS2	710	834	511	645	1068	644	725	1733
PRICKLE3	460	248	138	170	543	280	261	648
LTF	9696	463	1153	1020	685	774	186	2834
EXTL3	2050	2376	913	1369	2356	1717	1742	5158
NR1H4	8	15	4	10	13	6	8	45
ELOVL5	5225	4683	3218	4430	7291	3412	4057	11107
ALOX5	7623	8981	4550	3461	8771	6951	3740	16215
KDM5D	1	1216	0	0	0	0	1426	0
CALCOCO1	5932	6054	3765	5442	11523	3942	5229	13007
UBR7	1688	1216	698	989	2090	968	1089	2545
MAP4K5	1191	1895	1048	1729	2687	1054	1715	3582
EHD3	913	911	214	1116	540	638	462	1727
PSMC4	2693	1716	1099	1336	2888	1747	1374	4095
MAN2B2	3921	5239	2329	2127	6734	3613	3111	7554
SLC7A14	3	0	0	1	3	2	2	8
CLDN11	379	585	92	374	227	416	284	988
SLC25A39	4132	2251	1786	1733	4127	2584	1692	5529
MVP	17991	10449	9118	9012	19975	13151	10089	29463
NUB1	4005	2677	2330	3002	5785	2818	2981	6206
PGM3	1162	1275	687	1168	2081	845	1130	2392
RWDD2A	358	266	168	241	488	236	255	525
CLK1	2272	2181	2818	3201	2846	666	2560	4604
POLR3B	596	472	229	345	791	453	371	1051
ANGEL1	1418	1122	895	1093	1462	881	854	2569
RNF14	2037	1582	1085	1549	3001	1525	1460	3638
DNASE1L1	1247	1086	511	724	1169	837	716	2349
DDX11	846	246	231	302	529	248	281	594
HEBP1	2403	2137	1222	1561	4553	1700	1522	3572
GPRC5A	43377	57865	54492	39983	111514	39859	41740	97847
MAMLD1	220	406	126	239	153	192	275	730
CD6	1843	294	787	1572	540	400	812	2089
TACC3	2098	492	425	482	648	557	459	1449
UFL1	1399	1707	863	1390	2490	1174	1173	2922
POLA2	917	354	298	451	633	359	379	971
ZC3H3	1171	759	533	518	1103	655	727	2205
CAPN1	11802	7082	4561	4850	13484	8001	6360	19004
ACPP	371	167	146	208	343	249	184	654
MDH1	4605	2660	2301	2571	7277	2975	2169	6584
SLC30A9	2515	2645	1572	2101	4626	1950	2221	5252
MTMR11	209	266	172	306	604	264	299	1041
COX15	1838	1255	934	1136	2305	1215	1025	2393
CCDC88C	2643	1595	1494	1536	3570	1263	1873	4761
YAF2	515	460	321	446	907	419	393	1070
ZMYND11	3240	4724	2078	3331	6877	2981	4024	8118
WAS	2749	1063	815	1010	1224	1178	797	2960
DPEP1	77	37	7	10	2	40	3	42
BID	1158	853	574	632	1653	770	496	2001
MATR3	146	95	105	164	181	74	140	308
NPC1L1	9	9	2	9	15	6	7	6
XYLT2	1725	994	677	736	2201	1092	920	2446
RGPD5	1	1	1	1	1	1	0	1
STMN4	1	0	0	0	1	3	0	3
NUDCD3	4981	3699	1985	2767	6227	3185	2907	8123
ISL1	1	1	0	0	2	0	0	11
CHDH	633	603	335	278	1013	399	374	823
IL20RA	528	1480	571	1127	1647	317	449	4445
CLCA1	4	0	0	0	1	0	1	2
CLCA4	10	3	0	1	4	1	10	3
GLT8D1	1695	1315	801	1087	2954	1174	1167	2928
ATP2C1	6866	6969	3594	5892	11078	6009	5186	12839
IGF1	88	171	58	35	58	99	75	207
SLC38A5	984	933	370	614	1127	1024	966	1753
RALBP1	3100	3316	2023	2421	5428	2548	2708	6702
RUFY3	1437	1418	938	1670	2435	810	1336	2236
CNTN1	774	922	140	690	1035	645	523	825
SLC11A1	2872	3736	1950	2126	5762	3030	1576	8676
WWTR1	4018	6737	2813	4982	9320	3899	5153	14253
AGPS	1914	2108	1395	1977	3986	1908	1745	4690
CXorf56	944	762	586	461	1487	588	673	1535
ATP1A2	141	566	66	202	337	527	334	859
TTC27	693	553	304	389	823	440	421	1080
ZNF582	117	108	54	121	208	87	112	180
VSIG2	2785	2109	1758	1687	6978	1294	1863	3641
PHLDB1	1773	3413	1096	2523	2434	2434	2713	7528
MARCO	16210	20116	18653	10476	48034	12433	9506	40406
CYP24A1	26	1	4	14	33	18	0	31
PRDM11	749	968	412	663	1224	503	985	2482
SYT13	18	1	2	6	33	8	17	55
SNAI2	234	443	100	133	290	319	353	961
CD74	450618	225043	259365	191456	391456	214294	170380	602475
HGF	569	1514	434	963	954	1015	1088	2602
ZRANB1	659	812	379	674	1053	523	733	1633
NCDN	1786	1124	621	703	1926	968	870	2772
GPR124	1700	3020	659	1587	1200	1667	2050	7125
ZFP64	604	462	298	289	843	406	441	883
MNAT1	360	344	313	350	755	224	327	751
SAMD4A	1167	2013	1224	1394	2792	1383	1163	5692
RUNX3	2605	419	712	1446	944	915	1116	3316
MRE11A	750	653	514	786	1508	576	826	1373
PLEKHB1	2025	1274	490	1019	3488	1530	970	2548
SERPINB1	6215	7458	5425	6958	9146	4096	3479	13910
CYP3A43	1	1	2	6	2	0	3	3
SLC7A9	7	4	2	4	20	0	4	2
SPAST	755	827	666	813	1724	634	880	1545
NRXN3	398	504	315	463	664	495	248	1034
OSBPL5	1324	1306	557	832	1566	1124	1192	3197
AQR	2138	1971	1214	1594	3091	1509	1824	4182
CPS1	72	67	32	263	111	70	70	252
C8B	663	3043	28	145	917	147	139	415
FHL1	9509	15295	4007	11993	24668	12047	15342	38915
RTFDC1	4154	3205	1991	2367	5173	2565	2385	6279
GABRA1	0	0	0	0	1	0	0	1
NLRP2	438	163	133	585	401	83	251	857
SLC45A4	1627	1626	812	989	2452	1065	1324	2609
RNF10	7161	6067	3917	4741	11026	4937	4958	12571
ZNF839	346	243	169	224	484	152	235	522
ZDHHC6	1231	1053	743	1084	2009	785	871	2105
GRAMD1B	414	215	246	306	317	171	236	518
RNH1	12358	7959	5575	5396	16201	8268	7016	21647
NDUFS1	2788	2782	1613	2223	4291	2356	2427	6393
RB1CC1	1850	2856	1605	2391	4889	1622	2634	4899
ERP44	3461	2992	2222	2587	5234	2621	2341	6212
ALAS1	6313	5145	2695	2470	6495	4119	2139	6157
BIRC3	4110	2559	3589	3656	2595	1170	2274	9360
AKAP11	2677	3867	1844	2926	4725	2167	3242	6759
GLRX2	137	148	132	147	347	136	101	325
SNAPC1	439	407	256	249	697	227	340	569
DERA	1340	1159	770	1086	2788	917	1064	2434
STRAP	3259	3123	1700	2650	4873	2416	2304	6235
ABCC2	25	18	20	43	41	6	21	39
DEF6	2028	583	557	695	764	693	490	1792
PLEKHO1	4079	1564	1984	2374	4079	1551	1604	3858
GCLM	761	764	452	690	1755	708	609	1870
UBR2	2250	2411	1656	2442	4135	1793	2437	4827
EHD2	13668	14532	5674	8606	24851	14651	12322	33165
DEPDC1	120	14	19	22	37	21	10	45
CCDC28A	1393	1034	908	986	2792	847	827	1984
RRAGD	1599	1498	1026	1065	2711	1242	874	2871
HSF2	593	409	375	383	1025	351	426	1015
PHF20	2016	2084	1050	1558	2721	1585	1750	5094
HSD17B6	2742	3494	3619	3971	7415	2225	3986	5378
NR1H3	1934	736	1844	1571	3014	1076	1059	2216
TYMP	4413	2514	3998	2761	7954	2674	2995	8148
NCAPH2	2126	1263	969	969	2527	1138	1214	2935
TOMM34	1591	737	675	676	1479	786	620	2088
SEC63	4105	4467	2744	3711	7894	3517	4149	8065
KPNA6	3275	3011	1851	2508	5357	2563	3001	7181
VIM	53736	60269	43926	45732	103279	53147	46160	154748
RTEL1-TNFRSF6B	47	28	48	60	92	13	52	129
FAS	1432	1102	831	1532	2085	1054	1089	2937
RNASET2	2648	1564	1359	1315	3080	1239	927	3144
CD44	26649	21025	20657	23518	42252	21172	22625	61154
KCNG1	126	7	2	2	12	12	6	23
AGPAT4	596	550	414	678	1341	476	608	1515
SLAMF7	1863	239	2502	2088	682	1259	654	1530
BTN3A1	2685	1751	1904	3297	4175	1892	2554	5140
MIPEP	584	394	357	369	1263	428	428	1241
PRKCH	3009	3029	1227	2191	2811	2094	2419	8198
INSRR	6	0	0	0	1	1	5	8
IFNGR1	6328	7129	5017	8195	9464	4866	5295	23756
B4GALT7	1233	675	430	474	1092	567	441	1532
SH2D2A	388	76	150	350	81	124	151	524
VRK2	624	689	463	483	1101	494	530	1486
TNFRSF1B	6014	3927	2890	4039	3289	3414	3410	8950
VEZT	2194	2255	1852	2045	5274	1643	2331	5072
POU2F2	2849	296	344	566	454	478	268	603
BRD9	1401	1028	734	912	1866	815	993	2564
SNX1	7479	7177	4648	6229	12212	5226	6810	14623
TBPL1	608	465	294	442	934	425	422	936
ARNTL2	395	121	283	257	391	238	250	578
BCLAF1	3959	4171	2971	3814	6991	2955	3675	7950
SLC39A9	3464	3171	2040	2583	5669	2536	2522	6707
ANK1	171	44	65	42	31	46	19	145
IBSP	2	2	0	0	8	0	0	1
TFB1M	371	184	161	209	427	175	220	449
RABEP1	2642	2293	1380	2040	3510	1684	2035	4670
HMGB3	960	428	525	473	1673	714	449	2061
NUP160	2144	2106	1242	1775	3336	1376	1997	4303
BAK1	1112	598	527	560	1120	696	391	1974
MUSK	61	68	21	43	44	52	71	162
IKZF2	433	354	345	316	929	328	381	1002
GRN	57825	43614	39737	25399	83919	44274	27639	106372
FAM13B	1693	1626	692	1574	3039	1397	1586	2840
ARHGAP31	5345	8134	3283	5554	8379	4885	5687	17158
CENPQ	252	152	70	172	446	144	130	343
SARS	6477	4368	3109	3660	7063	4653	3464	9762
RANBP3	3209	2231	1399	1603	3703	1922	2096	4818
ARID4A	1301	1810	1201	1543	2556	807	1569	2679
TSSC1	1029	497	357	481	1022	486	406	1320
PNPLA6	8383	7506	3796	3378	13252	7677	4842	18895
IFT88	533	570	319	548	1357	428	391	1051
ALG1	1057	478	403	377	1112	715	405	1302
ZCCHC8	961	815	503	760	1674	613	754	1382
ABCF2	2376	1547	836	1180	2352	1607	1207	3584
CHPF2	3099	1774	1235	1482	3104	1754	1502	4963
LRRC7	17	15	6	27	33	7	19	27
FUT8	1231	782	627	766	1345	720	588	1819
UBA6	1156	1247	935	1451	2383	873	1223	2826
GAB2	3929	3646	2737	3248	3747	2656	3175	8811
ATP6V0A1	4315	3195	2604	3288	5209	3011	2952	7583
PIAS1	2242	2398	1950	2150	5149	1847	2667	5062
SLC4A7	562	706	579	763	625	296	481	1803
APBA2	305	136	101	204	159	176	201	521
MAP2K3	3620	2459	1567	1652	4458	1968	1988	6716
EFCAB1	324	54	122	83	2518	209	45	1463
TMSB10	39328	22593	21865	24358	44544	23339	17232	58353
ASTE1	354	293	189	284	507	265	246	569
RNF19A	3247	3459	2198	3486	5091	1892	2826	6780
PEX3	567	584	338	534	906	415	469	1064
GABARAPL2	3822	2714	1878	2841	6474	2637	2345	6173
MYOC	39	77	15	48	236	233	1005	331
SH3YL1	1481	1552	1222	2086	5687	1709	1079	2647
FAM136A	1024	525	521	608	1674	570	548	1306
VCL	4960	9467	3454	5650	9621	7649	7430	23612
DEPDC1B	133	9	11	18	27	23	18	41
DAPK2	2780	2186	1887	2581	8133	1218	3345	5163
NSMAF	1446	1198	921	1041	1796	975	984	2662
ADSS	1886	1717	1208	1608	3091	1498	1582	4205
STAP1	681	32	38	67	54	71	27	79
TIMP2	18764	28112	9198	13131	30592	19722	20136	44461
RFC1	2760	2099	1880	2011	4372	1947	2673	4639
TBC1D23	1188	1305	813	1361	2770	995	1193	2641
CUL3	2865	2363	1553	1991	3957	1764	2125	5053
MYOM2	111	80	51	160	274	107	99	303
OTC	30	80	6	27	25	102	37	109
CYP46A1	34	43	12	36	62	23	41	85
ZZZ3	1139	973	796	1072	1886	726	1138	2007
SLC18A1	7	1	3	2	0	2	1	12
USP2	205	331	100	98	656	162	208	855
CASR	22	27	2	9	5	4	0	44
TUBG2	670	587	313	387	1266	445	485	1170
RPL26L1	513	316	230	282	630	314	203	708
FLT4	1415	2652	622	1752	1659	1535	1811	7154
