Symbol	TCGA-44-2657-01	TCGA-50-5939-01	TCGA-55-6979-01	TCGA-55-6970-01	TCGA-55-6984-01	TCGA-44-6777-01	TCGA-44-6146-01	TCGA-44-3396-01
ITGAL	3711	1081	2886	3343	558	4006	209	4704
PDK2	1225	567	568	913	343	832	165	3001
ITGA3	7381	117419	11595	23175	27322	17703	4124	121485
ZFX	1368	1075	1183	2782	1084	1395	2554	3558
LAMP2	7511	6662	7873	12177	4225	19266	4532	21091
ITGA2B	78	12	60	34	7	69	4	60
ASB4	32	21	42	21	8	138	167	22
GDE1	6700	3706	3804	5180	1625	4843	3243	11377
C19orf60	1222	380	1113	937	522	595	39	5227
CRLF1	2818	381	5087	206	274	99	37	26369
OSBPL7	950	500	568	431	677	274	771	5317
TMEM98	2416	654	3599	3444	992	1689	1699	12196
YBX2	300	145	228	229	4	150	9	21
KRT33A	0	0	0	0	0	0	1	0
MAP3K14	1419	1095	636	976	346	855	242	1332
ABCC8	9	3	0	15	5	3	6	0
CACNG3	1	0	1	3	0	1	0	0
TMEM132A	1071	3811	3632	1591	1596	1042	145	18183
AP2B1	5940	8727	10780	17841	8034	12962	6650	48074
TAC1	0	0	0	0	6	0	2	1
ZNF263	1502	1094	905	1426	780	742	710	3399
CX3CL1	2353	492	2214	2597	1275	3506	207	7807
SPATA20	1646	1512	1719	809	861	1285	353	7782
CACNA1G	8	10	17	18	3	152	9	28
TNFRSF12A	2445	5647	2092	2082	4122	1845	397	10002
DLX6	67	1	0	1	1	5	4	2
MAP3K9	542	979	760	2194	580	614	515	1613
RALA	1831	1498	4637	4211	3160	3469	3149	16700
BAIAP2L1	1507	2578	2433	4819	6653	2432	3551	12492
KDM7A	1219	994	1226	3280	1011	2413	4736	4118
ETV1	1877	605	1198	1849	673	2027	2311	4202
AGK	927	914	825	1275	721	940	1474	3422
ALDH3B1	2689	4514	2031	9369	4864	5266	899	2812
TTC22	707	1442	468	1603	943	482	804	1108
PHTF2	1080	1045	1385	2307	324	1990	1030	4214
CCL26	22	51	16	17	14	65	0	90
FARP2	1431	1085	815	2948	1855	1184	4110	2695
USH1C	9	11	1	5	4180	11	790	13
GGCT	1018	631	3577	2109	661	1845	306	6315
DBF4	462	407	532	997	251	302	310	1995
TBXA2R	54	74	177	134	70	241	23	438
IFRD1	1019	669	1775	1182	554	1113	1487	4701
LGALS14	0	0	0	0	0	0	0	1
COX10	425	550	387	1458	300	432	254	1359
GTF2IRD1	834	1006	873	1356	841	897	396	4547
PAF1	2468	1397	3155	6106	1782	2086	304	5327
VPS41	2920	1583	2685	5002	1655	4128	2708	8807
ARHGAP44	824	568	557	1709	371	395	405	297
ELAC2	1764	2346	1770	3806	1177	1933	661	4217
SCIN	419	113	5218	1019	1373	464	4092	5013
ARSD	3981	3252	4112	12099	6831	7151	1717	14658
PNPLA4	713	427	491	1555	812	744	190	2463
MYH13	5	2	1	11	2	6	10	5
ADIPOR2	1817	2080	1706	4276	6020	2873	4634	5052
CDKL3	30	27	17	35	12	21	48	134
UPP2	8	2	2	1	2	1	13	5
PRSS21	69	234	17	296	367	28	24	60
MARK4	1154	1184	750	2513	1028	1208	278	3966
PROM1	269	23	916	50	1366	243	2494	1833
CCDC124	2379	1250	1332	3042	1922	1808	40	6002
CEACAM21	133	45	221	135	41	306	16	141
PAFAH1B1	3742	5384	3006	9008	2617	5538	9373	9905
NOS2	14	76	96	140	16	139	19	348
DNAH9	192	23	9	25	356	8	70	54
KIAA0100	4406	8866	3686	19452	6505	12043	3831	15948
SLC13A2	18	0	1	12	2	3	0	0
GAS7	1987	1534	1717	2240	425	5447	1057	6024
TRAPPC6A	1228	318	965	957	502	652	18	3030
MATK	369	148	141	737	49	557	3	485
CEACAM7	33	10	37	87	253	7	30	19
CD79B	3240	367	348	392	314	509	4	1219
SCN4A	20	5	21	17	5	34	4	17
ST7L	323	250	365	812	270	274	933	779
TKTL1	10	3	1	5	8	4	1	13
PAX6	54	37	37	85	27	64	177	90
RPUSD1	1128	821	782	1285	717	560	43	2958
RHBDF1	1245	1153	1410	1558	2321	1034	536	9902
LUC7L	1669	437	1255	1381	917	533	2189	4089
CACNA2D2	2970	969	463	3494	320	545	626	162
BAIAP3	686	697	265	626	311	432	64	423
TSR3	1478	1494	1112	1678	1063	1656	68	3907
PIGQ	1974	1794	1346	1812	1368	1326	138	5721
CRAMP1L	675	646	492	1075	608	578	548	1396
TEAD3	1559	1741	1122	3304	1290	1004	574	3293
SELE	71	195	70	158	60	99	18	487
DNAJC11	1426	1058	929	2222	906	1188	380	2665
FMO3	1248	130	283	573	221	710	612	2450
MYLIP	1889	548	802	1866	690	1845	1075	2035
NOX1	46	16	77	55	29	86	20	160
E2F2	286	230	278	522	165	210	29	586
PSMB1	4607	5007	4640	6089	3127	4211	1163	14379
SYN1	35	690	65	38	39	88	20	137
JARID2	1015	930	841	3969	610	1022	852	2667
CDKL5	482	428	488	1611	474	1203	1968	1415
CAMK1G	71	38	60	75	11	112	27	242
CDK11A	504	123	180	206	218	100	104	361
NADK	4718	2762	2827	4483	3298	2704	1201	10598
TFAP2B	10	2	4	0	0	0	1	15
DLEC1	208	10	64	62	149	76	158	619
CYTH3	1748	993	3507	1849	651	3097	1045	5356
ADAM22	171	48	238	157	49	241	406	1109
SYPL1	5221	4198	2897	9508	4760	5278	4011	14938
CYB561	4440	6222	4276	4821	4980	4523	1608	18333
SPAG9	4564	2956	2964	6730	2182	6732	6374	13231
CELSR3	356	1282	913	236	423	118	175	3132
AASS	268	280	178	1518	507	406	826	1307
PLEKHG6	267	589	160	397	738	233	212	597
SS18L2	458	191	491	626	304	384	259	1956
MPND	724	457	915	935	774	1096	49	2226
MGST1	2956	5965	4043	34419	6989	17981	1302	9939
CRY1	833	668	674	2220	522	641	872	2897
PGLYRP1	357	0	1	19	6	0	6	36
NFIX	4327	1519	1448	4249	1948	4174	1635	4134
ST3GAL1	3624	6119	2641	9362	7188	5392	1932	5838
MMP25	161	137	146	263	74	193	32	1010
IL32	3779	2752	3550	3272	4025	5072	275	17412
PKD1	1942	1833	1080	2189	1601	2524	601	3785
MAPK8IP2	244	287	365	281	107	336	14	2423
MED24	2096	2244	3062	4187	1818	2693	525	11476
RHOBTB2	2065	2386	1493	11015	1622	1479	1573	2991
HEATR5B	853	1127	958	3684	970	1452	3113	2842
SEC62	6469	6879	4659	12568	6467	10988	7517	13920
RPS20	19355	20403	18979	66869	16887	26823	4241	41620
CSDE1	13879	22444	20141	46081	15660	30072	14585	43754
UBE3C	2682	4171	2948	7039	3913	5435	3513	14615
REV3L	904	908	606	2006	325	994	5263	2093
TENM1	64	8	32	55	6	55	492	87
PAX7	0	0	0	16	0	0	2	0
MASP2	59	11	21	20	10	18	243	84
IYD	1552	34	41	120	658	113	5079	834
FAM76A	737	446	474	672	422	454	793	1250
TRAF3IP3	1291	181	643	676	219	514	273	1138
POMT2	783	1137	547	1351	732	735	281	1808
VTA1	1911	1682	1328	2667	1560	1466	1650	5706
MLXIPL	52	22	105	57	14	36	16	19
BAZ1B	4225	4081	3756	7122	2669	4502	2974	13191
RANBP9	2075	1970	1752	7712	1830	2353	2383	6210
ETV7	428	245	790	831	130	450	113	2130
SPRTN	399	437	383	1892	315	444	610	949
METTL13	1423	1416	1351	4511	1498	1574	366	4017
DYRK4	514	193	513	607	413	562	162	1302
ZNF207	4551	4279	5458	10995	4533	4967	14645	20865
UQCRC1	3814	3030	5056	10938	3698	4159	412	15120
STARD3NL	1818	953	2312	2088	751	1560	798	7594
CD9	11504	6029	5703	13261	13907	12135	1568	30994
HHATL	13	1	0	1	0	23	2	11
NCAPD2	2294	4928	2288	5824	3068	3193	772	5148
IFFO1	689	260	787	520	160	742	84	1778
GIPR	209	62	77	63	160	26	412	489
PHF7	133	67	189	179	83	124	97	454
SEMA3G	209	144	356	1019	214	97	101	757
NISCH	2657	1707	2158	3749	1888	2773	1601	9151
STAB1	3049	2985	5203	3698	920	11582	608	12290
FUZ	627	112	394	520	387	367	59	1980
SLC6A13	10	0	13	16	2	5	2	1
IDS	7311	3979	5314	5658	2466	11455	6020	16461
PRSS3	8	5	656	1	3295	14	170	96
ZNF200	436	381	478	621	235	329	276	1064
CD4	7699	4320	9710	8378	1150	19301	787	17235
LRRC23	462	390	155	373	507	339	51	495
BTK	1387	436	1047	1003	165	1471	96	1904
HFE	790	1091	384	2003	582	971	675	2057
SCMH1	1565	1856	1025	1838	1274	1192	1063	2617
FYN	3265	770	1771	1680	601	2797	1125	6078
HIVEP2	1562	2550	1294	2839	1091	2606	2357	5430
FMO1	152	59	103	47	48	560	56	1023
TCEB3	4587	2861	1817	4084	1659	2499	2392	6347
LYPLA2	4078	4000	2758	4868	3599	2127	304	14897
CLCN6	1091	597	644	758	394	631	715	1627
MRC2	4907	3516	6083	6468	1996	12850	832	14186
NME2	36	35	12	30	39	25	0	154
SLC6A7	20	3	18	20	7	7	8	22
TSPAN9	2287	1585	1146	2146	1311	2277	410	4047
BTBD7	1071	1730	1029	4610	1319	1678	2297	1992
APBA3	755	407	754	825	483	532	97	2149
MKS1	665	549	615	685	231	361	145	1810
ABHD5	394	448	761	1730	386	1003	570	3928
KAL1	1873	499	2864	2378	179	1661	1242	1911
AKAP8L	1842	753	1238	1770	841	1081	305	3208
MBTD1	762	562	732	1656	491	556	2283	2398
UTP18	1278	1048	1283	2609	945	1690	537	4801
RNF216	2237	1253	2704	3107	1145	2813	1436	7866
TTC19	1511	1889	1340	3971	925	1063	3384	3222
PTBP1	7196	7192	8675	19789	8405	10275	1569	25632
DPF1	24	4	20	17	9	9	8	120
SYT7	957	744	858	4357	112	2279	37	2976
LARS2	759	509	621	1960	634	742	409	2648
PIK3C2A	1660	1398	1577	4864	1369	2288	8400	6540
PLAUR	1436	3662	4450	4270	6022	5600	1117	12788
ANLN	695	1342	3962	2128	1074	860	286	7008
WIZ	3048	1274	1479	2272	1932	1721	228	5887
RABGAP1	1522	1871	1904	4131	1257	2060	3120	5120
DCN	30943	11280	11482	15152	2926	45481	7162	100891
QPCTL	1149	351	320	668	345	553	53	2174
PPP5C	2147	963	1356	3125	1506	1450	552	5117
CEP68	949	651	722	1702	492	1117	1727	2173
MAP4K3	851	1177	1184	3909	1084	1268	4261	4053
ZBTB32	136	38	58	55	23	40	15	203
TYROBP	4006	2465	5429	3688	457	9135	38	10913
TMEM159	2006	2152	1995	2297	1466	1798	895	6480
GABRA3	21	1	84	0	0	0	0	1183
BRCA1	214	612	813	964	344	508	351	2251
ERCC1	2010	1249	1103	2228	970	1958	359	4835
CD22	2895	347	350	618	486	330	56	858
SEMA3B	539	1231	578	475	3720	711	811	3458
MBTPS2	864	1493	580	2281	653	1568	1019	3359
PRICKLE3	461	403	311	504	381	545	54	1617
LTF	5099	5197	2807	14268	24873	862	1267	2903
EXTL3	1074	2553	1292	5058	2541	2533	747	4629
NR1H4	3	20	1	84	0	3	6	1
ELOVL5	5292	2749	4522	9866	2427	4860	1494	16896
ALOX5	2412	2783	3047	2035	950	7660	549	6122
KDM5D	1	1173	1	3	0	3	2389	0
CALCOCO1	2671	2631	1721	5078	1242	2401	1659	7172
UBR7	1437	1155	1379	2640	709	1346	547	3659
MAP4K5	1112	1742	1554	3673	1017	1418	2978	4825
EHD3	536	330	684	803	249	1234	153	2381
PSMC4	3219	1718	5851	7320	2378	3444	330	10273
MAN2B2	3189	3890	2675	3919	2817	4516	854	11493
SLC7A14	0	0	0	1	0	0	14	1
CLDN11	515	34	286	150	27	330	69	408
SLC25A39	5222	6120	5492	8258	5304	6353	326	16479
MVP	11484	10996	11440	21768	17458	17301	1713	27842
NUB1	2999	2606	4315	5049	2231	4743	1427	14158
PGM3	1269	995	1574	4398	997	1799	3665	5590
RWDD2A	369	133	261	576	130	304	251	1418
CLK1	3127	1006	2249	4927	1533	705	4388	7177
POLR3B	371	353	268	1060	209	545	454	820
ANGEL1	1268	944	1110	1966	676	985	389	2175
RNF14	2324	1528	1459	7445	1347	2155	1085	6641
DNASE1L1	1160	1224	746	1273	904	1309	210	2068
DDX11	1213	656	727	811	696	372	175	2582
HEBP1	919	952	1167	2007	516	2264	544	2534
GPRC5A	10260	16702	7866	67091	96511	6987	14198	21724
MAMLD1	153	219	263	502	75	692	117	636
CD6	1512	320	1295	1186	340	669	117	1795
TACC3	1396	1611	2466	2335	1286	1179	123	6959
UFL1	1619	1242	1477	3973	815	1970	2774	5005
POLA2	782	443	1141	924	371	583	242	3291
ZC3H3	1006	765	846	2748	762	917	129	4320
CAPN1	8570	11595	7220	16180	12389	11137	1121	41007
ACPP	98	191	273	534	422	407	357	1173
MDH1	2774	2702	3300	10043	2964	4303	1024	11315
SLC30A9	2643	2425	1737	6744	2408	3302	3675	8404
MTMR11	267	183	578	2053	3622	420	1351	2191
COX15	1131	1929	975	5483	1152	1513	1502	2688
CCDC88C	2593	2078	2141	6146	1716	1006	860	3098
YAF2	493	279	432	923	197	555	2063	1479
ZMYND11	2052	2766	1797	7933	1701	3705	4565	9064
WAS	1424	606	1307	1059	248	1643	46	2775
DPEP1	538	103	32	132	38	483	5	319
BID	1128	776	1338	1458	1051	888	523	3257
MATR3	166	104	102	304	148	145	2130	329
NPC1L1	3	1	4	11	908	12	184	123
XYLT2	1991	2072	1062	1681	1215	2266	354	5093
RGPD5	0	0	2	0	2	0	1	1
STMN4	2	0	0	2	0	1	0	1
NUDCD3	3868	2252	4408	4376	2952	4038	1158	18620
ISL1	2	0	1	1	21	6	0	4
CHDH	391	148	448	710	357	473	489	4401
IL20RA	273	151	368	428	926	219	518	597
CLCA1	0	0	0	0	0	0	8	3
CLCA4	1	30	7	0	10	1	1	2
GLT8D1	1607	1120	1538	2045	1273	1801	1053	5524
ATP2C1	3068	5153	4663	8340	4671	5765	3889	19685
IGF1	128	195	146	103	34	198	84	442
SLC38A5	991	512	553	525	212	1468	65	1849
RALBP1	2814	3664	2117	7766	3708	3381	2134	7001
RUFY3	1286	778	854	1695	721	818	3943	2769
CNTN1	244	51	150	197	8	428	118	509
SLC11A1	482	900	1037	1590	334	3901	86	4523
WWTR1	1936	2819	2209	4057	4042	4309	3080	8280
AGPS	1906	2397	2063	6038	2004	3052	4921	6996
CXorf56	1083	754	875	1004	608	879	353	3536
ATP1A2	163	31	11	72	29	185	170	24
TTC27	501	829	493	1756	505	823	405	1990
ZNF582	93	76	118	186	30	122	95	126
VSIG2	2554	128	432	436	5366	401	1296	248
PHLDB1	2152	2147	2042	1967	1278	3386	3611	6543
MARCO	381	5365	1512	1800	208	12701	3	5340
CYP24A1	74	3164	1296	3963	359	1579	158	1679
PRDM11	486	381	246	512	253	271	328	772
SYT13	340	39	150	2145	6812	11	1350	6
SNAI2	232	1487	367	331	108	1076	172	2865
CD74	436321	98847	190754	161724	33990	403973	5435	452594
HGF	731	379	441	1140	187	1621	1475	1098
ZRANB1	447	607	277	1736	385	680	809	945
NCDN	2097	1599	1112	1744	910	1384	178	3709
GPR124	1234	1112	1310	1830	565	3724	389	5641
ZFP64	701	906	626	1587	790	591	264	1467
MNAT1	402	559	409	898	351	313	324	1687
SAMD4A	602	1225	1479	1113	510	1838	1233	4018
RUNX3	2070	831	956	1298	363	1284	127	2439
MRE11A	758	815	972	1826	576	858	1696	3197
PLEKHB1	1228	237	277	838	289	2897	334	2114
SERPINB1	3794	12875	6053	15320	32758	5599	3781	23108
CYP3A43	2	1	0	2	0	0	8	0
SLC7A9	6	1	53	10	5	0	9	4
SPAST	688	994	1022	2920	764	1295	1849	2366
NRXN3	217	61	458	348	90	219	470	128
OSBPL5	828	1544	845	2285	1185	1586	300	2688
AQR	1616	2194	973	4392	1667	2755	3185	5287
CPS1	49	5743	51	237119	17	151	101	1183
C8B	0	277	19	23	16	44	1	7
FHL1	2971	1035	524	2181	292	1869	2625	1643
RTFDC1	3615	3013	2708	5413	2431	3339	755	9506
GABRA1	1	0	1	0	0	0	1	0
NLRP2	1531	19	148	6396	57	101	16	295
SLC45A4	1678	1094	860	24334	2070	1412	839	4335
RNF10	4689	7164	4438	12071	3135	6807	2844	14614
ZNF839	367	223	230	682	190	199	130	555
ZDHHC6	1063	1205	1339	4425	1331	1428	1504	3526
GRAMD1B	233	1754	241	3090	3902	353	2578	322
RNH1	7331	4075	5529	8262	5014	8847	503	17984
NDUFS1	2695	3653	2229	19854	2418	3034	3771	7829
RB1CC1	1434	2420	1303	7826	1276	2978	5897	5413
ERP44	2731	3346	3536	6024	2896	3835	2740	8809
ALAS1	2536	1707	2279	3938	2769	3446	719	6157
BIRC3	3126	13050	3037	9286	3023	3566	8300	13293
AKAP11	1898	1330	1564	6309	1578	2774	7883	5187
GLRX2	168	265	237	885	300	229	215	416
SNAPC1	384	1554	318	879	271	355	143	1735
DERA	999	793	1221	2860	1418	1370	986	3438
STRAP	2466	2699	2470	8363	4269	3861	1442	8567
ABCC2	40	381	14	8722	47	22	54	47
DEF6	1685	643	1201	1520	1430	1322	160	2695
PLEKHO1	2955	1278	3868	2081	675	3938	308	5997
GCLM	664	4264	1352	6102	1528	1443	1032	2873
UBR2	2361	1149	1740	7027	1278	2191	4732	4162
EHD2	3772	5346	3075	4926	6658	8692	840	9825
DEPDC1	277	556	458	655	233	188	94	970
CCDC28A	921	801	776	1197	660	855	560	2664
RRAGD	757	602	1315	1357	194	2377	349	3590
HSF2	532	394	451	868	248	380	315	1900
PHF20	1776	1904	1402	4618	1314	2321	2274	5141
HSD17B6	2085	195	210	935	54	932	197	439
NR1H3	1786	734	2786	2275	494	938	247	3717
TYMP	4534	5230	9416	9375	3648	7580	318	21872
NCAPH2	2135	755	1682	1856	907	1348	161	4306
TOMM34	1382	1884	888	2662	1371	1003	301	3824
SEC63	3701	4428	3367	10383	1812	5022	4178	9845
KPNA6	3831	3951	2532	7373	2885	3854	3228	7972
VIM	26282	30287	34549	29359	7660	95217	5800	92037
RTEL1-TNFRSF6B	80	101	207	73	409	21	123	320
FAS	1173	1282	1085	1536	403	1782	1154	3561
RNASET2	2544	1757	2296	7288	8662	4136	1057	4760
CD44	15939	13701	14142	19417	18389	23908	6456	36558
KCNG1	67	9	4	30	33	21	0	17
AGPAT4	327	638	263	366	468	522	301	1725
SLAMF7	7487	1777	4580	5574	503	2654	227	10301
BTN3A1	3506	2285	2252	4087	1210	2698	1042	5921
MIPEP	464	373	496	1492	451	500	294	1446
PRKCH	1851	1544	1589	2096	1035	1366	1211	4012
INSRR	6	2	3	1	2	11	5	11
IFNGR1	6497	6536	5635	8148	3142	6831	2666	22389
B4GALT7	1798	1039	858	1550	1198	1405	165	2904
SH2D2A	434	381	372	326	148	329	30	859
VRK2	593	681	1026	1972	405	707	748	2593
TNFRSF1B	4049	2665	3330	8612	1156	6911	548	7738
VEZT	2144	1873	2536	5245	1612	2735	4384	9898
POU2F2	1816	837	1415	964	407	1199	140	2055
BRD9	1810	1241	1538	3427	1043	1765	884	3807
SNX1	4196	3655	3866	7299	2432	4174	3143	12190
TBPL1	542	419	434	738	399	363	648	2239
ARNTL2	1254	5291	819	1735	2663	856	4088	2531
BCLAF1	4057	4310	3329	9837	3232	4065	8544	9701
SLC39A9	3693	4290	2883	8542	3081	3313	2723	11051
ANK1	111	38	35	71	334	69	753	107
IBSP	18	22	62	15	31	681	6	19
TFB1M	398	337	375	865	232	223	217	1344
RABEP1	1767	1579	1495	3736	723	2209	2748	3280
HMGB3	4460	4507	6248	16046	1147	4498	300	59006
NUP160	2495	2391	2423	3659	1089	1934	1906	6680
BAK1	1429	1820	1254	2387	899	980	118	4630
MUSK	59	6	9	31	2	6	125	17
IKZF2	820	392	866	1673	587	690	3827	1802
GRN	32266	31994	25915	35815	15019	44357	1416	69132
FAM13B	1567	1023	864	1528	436	1166	2160	2676
ARHGAP31	1841	1517	1580	3115	563	3993	1313	4711
CENPQ	351	109	169	561	160	235	117	844
SARS	4107	3750	5343	6513	2956	7547	1279	11451
RANBP3	1872	1242	2230	2918	1768	2255	544	6524
ARID4A	818	684	772	2464	498	910	1629	1965
TSSC1	687	1138	828	2091	837	723	365	3628
PNPLA6	1819	2791	2270	4639	2520	5132	165	8264
IFT88	264	229	297	1328	325	342	803	1527
ALG1	943	848	588	1466	739	1052	187	2072
ZCCHC8	820	881	786	1582	416	915	1265	1834
ABCF2	2170	2480	2098	3818	1907	3256	408	10982
CHPF2	3307	3983	3722	4393	2884	4793	878	16135
LRRC7	12	7	12	27	19	5	102	54
FUT8	2683	1229	4144	1923	1166	2585	2231	7283
UBA6	1665	2306	1960	3667	1504	2133	5367	7665
GAB2	1293	974	1354	4947	1153	3139	1156	3656
ATP6V0A1	2385	1941	2130	3801	2032	3961	2076	6468
PIAS1	1345	1135	1185	2879	1064	1684	3757	3070
SLC4A7	822	584	1373	1322	405	1574	2057	4209
APBA2	562	533	646	884	312	870	112	824
MAP2K3	1633	3925	1443	2543	4967	2071	978	6902
EFCAB1	173	9	8	13	184	7	18	92
TMSB10	40539	37818	51186	90970	41175	46511	6645	145104
ASTE1	374	258	273	354	260	308	366	763
RNF19A	3551	1597	2398	7957	2000	4995	6198	23092
PEX3	890	523	489	934	181	336	432	1736
GABARAPL2	2989	2012	1593	4171	2476	2333	1475	8589
MYOC	13	0	3	11	3	17	0	3
SH3YL1	887	1686	1266	9998	3246	2393	3499	3012
FAM136A	1219	1591	1556	3266	1254	1138	900	4725
VCL	2704	8331	4299	11869	7516	8361	8037	18655
DEPDC1B	136	341	538	433	529	120	42	906
DAPK2	800	195	780	523	125	349	357	1041
NSMAF	1180	1321	1355	2743	813	1605	1085	3706
ADSS	2357	1994	2654	9792	3368	2754	2015	6402
STAP1	401	43	52	82	27	103	21	132
TIMP2	11972	20916	17144	11524	6195	33627	5804	48287
RFC1	2112	1973	1479	3766	1118	2548	1834	4737
TBC1D23	1669	1427	1212	2632	1418	2200	2615	4721
CUL3	2781	2275	1877	4515	2080	2704	3371	7030
MYOM2	137	18	33	54	30	51	37	72
OTC	11	4	2	7	0	0	4	0
CYP46A1	68	28	4	52	11	52	44	68
ZZZ3	1203	1533	997	2864	825	1261	2911	2822
SLC18A1	11	0	10	2	0	8	2	29
USP2	160	126	39	54	50	185	36	122
CASR	87	0	0	8	17	10	24	2
TUBG2	573	325	560	315	178	446	157	2310
